review_id,rating,date,author,content,raw_html,clean,tokens,categories,sent_score,date_parsed
                                                <label for=""optionPage-4_OI0000000031_OV0000000817""><span class=""blind"">타이탄 블루</span></label>
                                            </span>
                                            
                                        
                                    
                                        
                                    
                                        
                                    
                                        
                                    
                                </div>
                            </div>
                        

                        <ul class=""product-review-list"" id=""divReviewList"">
                            
                            
                            



    
        
            <li data-model-id=""MD10538832"" data-review-id=""448027"">
                <!-- 베스트 리뷰, 체험단 리뷰 뱃지가 없는 경우 none-badge 클래스 추가 / 주요항목 평가가 없는 경우 none-rating / 미디어가 없는 경우 none-media -->
                
                
                
                
                
                
                

                <!-- [BTOCSITE-83305] 구독 리뷰 활성화 : 구독 플래그 추가 -->
                
                <!-- [BTOCSITE-83305] 구독 리뷰 활성화 : 구독 플래그 추가-->

                
                
                    
                

                
                
                    
                
                <!-- 모든 요소가 있는 경우 -->
                <div class=""item none-badge  "">
                    <div class=""score-wrap"">
                        
                        <div class=""star-wrap"">
                            
                                
                                    
                                        <span class=""star full""></span>
                                    
                                    
                                
                            
                                
                                    
                                        <span class=""star full""></span>
                                    
                                    
                                
                            
                                
                                    
                                        <span class=""star full""></span>
                                    
                                    
                                
                            
                                
                                    
                                        <span class=""star full""></span>
                                    
                                    
                                
                            
                                
                                    
                                        <span class=""star full""></span>
                                    
                                    
                                
                            
                            <span class=""blind"">리뷰 별점 5점 중 <em>5점</em></span>
                        </div><!-- 5점 : 최고예요! / 4점 : 좋아요! / 3점 : 보통이예요 / 2점 : 그저 그래요 / 1점: 아쉬워요-->
                        
                            
                            
                            
                            
                            
                                <strong class=""txt"">최고예요!</strong>
                            
                        

                    </div>
                    <div class=""badge-wrap"">
                            
                    </div>
                    <div class=""rating-wrap"">
                        <ul class=""rating-list"">
                            
                                <li>
                                    <dl>
                                        <dt>성능</dt>
                                        <dd>좋아요</dd>
                                    </dl>
                                </li>
                            
                                <li>
                                    <dl>
                                        <dt>디자인</dt>
                                        <dd>뛰어나요</dd>
                                    </dl>
                                </li>
                            
                                <li>
                                    <dl>
                                        <dt>휴대성</dt>
                                        <dd>좋아요</dd>
                                    </dl>
                                </li>
                            
                        </ul>
                    </div>
                    <div class=""purchase-info-wrap"">
                        <span class=""user-name""><em class=""blind"">구매자 이름</em>한*성</span>
                        
                        <span class=""purchase-date""><em class=""blind"">구매 일자</em>2025.08.14</span>
                        
                            
                                <span class=""purchase-path""><em class=""blind"">구매경로</em>LGE.COM 구매</span>
                            
                            
                            
                        
                    </div>
                    <div class=""media-wrap"">
                        <ul class=""media-list"">
                            
                                <li>
                                    <a href=""#reviewLayer"" data-control=""modal"" class=""thumb-wrap"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""normal"" data-review-id=""448027"" data-model-id=""MD10538832"" data-initial-index=""1"" data-model-displayname=""LG 그램 Pro AI 40.6cm"" title=""포토/동영상 리뷰 레이어 팝업 실행"">
                                        
                                            
                                            
                                                <div class=""thumb"">
                                                    <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/448027/20250814163829145_9963b226.jpg?aw=4&amp;ah=3&amp;rw=164&amp;rh=123"" alt=""리뷰 이미지 1""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품 -->
                                                </div>
                                            
                                        
                                        
                                    </a>
                                </li>
                            
                                <li>
                                    <a href=""#reviewLayer"" data-control=""modal"" class=""thumb-wrap"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""normal"" data-review-id=""448027"" data-model-id=""MD10538832"" data-initial-index=""2"" data-model-displayname=""LG 그램 Pro AI 40.6cm"" title=""포토/동영상 리뷰 레이어 팝업 실행"">
                                        
                                            
                                            
                                                <div class=""thumb"">
                                                    <img loading=""lazy"" style=""object-fit: cover;"" src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/448027/20250814163829158_f74d2712.jpg?aw=4&amp;ah=3&amp;rw=164&amp;rh=123"" alt=""리뷰 이미지 2""><!-- BTOCSITE-81509 [웹앱 접근성 개선활동] PDP - 일반, 케어용품/소모품 -->
                                                </div>
                                            
                                        
                                        
                                    </a>
                                </li>
                            
                                <li>
                                    <a href=""#reviewLayer"" data-control=""modal"" class=""thumb-wrap"" onclick=""javascript:reviewLayer.reviewLayer(this)"" data-view-type=""normal"" data-review-id=""448027"" data-model-id=""MD10538832"" data-initial-index=""3"" data-model-displayname=""LG 그램 Pro AI 40.6cm"" title=""포토/동영상 리뷰 레이어 팝업 실행"">
                                        
                                            
                                                <div class=""video"">
                                                    <span class=""blind"">리뷰 동영상 3</span>
                                                    <video src=""https://static.lge.co.kr/prod-mkt/itm/kr/upload/review/448027/20250814163829273_030fea2c.mp4#t=0.5"" type=""video/mp4"" preload=""none"">
                                                        <track kind=""descriptions"">
                                                    </video>
                                                </div>
                                            
                                            
                                        
                                        
                                            <div class=""etc-info"">
                                                <span class=""play""><span class=""blind"">동영상 재생 가능</span></span>
                                            </div>
                                        
                                    </a>
                                </li>
