,뉴스제목,뉴스링크
159,"개발원, '2025년 지자체 정보보안 실무협의회' 개최",https://zdnet.co.kr//view/?no=20250711195910
160,'코드게이트 2025' 성료...한국 등 4개국 구성 '블루워터' 우승,https://zdnet.co.kr//view/?no=20250711195228
161,"HD현대중공업 노사 임협 난항…노조, 첫 부분 파업",https://zdnet.co.kr//view/?no=20250711175049
162,"李, 네이버 출신 트리플 발탁...플랫폼 '꽃' 필까",https://zdnet.co.kr//view/?no=20250711152949
163,"[AI는 지금] ""국가대표 AI에 사활 건다""...선발전 앞두고 新 LLM 쏟아지는 이유는?",https://zdnet.co.kr//view/?no=20250711144807
164,"LG는 '전담조직 신설', 삼성은 '기술 인수'…HVAC 주도권 승부수",https://zdnet.co.kr//view/?no=20250711161206
165,"오픈소스컨설팅, 제조 R&D 실시간 협업 체계 구축",https://zdnet.co.kr//view/?no=20250711165045
166,"낙동강 주민대책위 ""환경오염 영풍 석포제련소 가동 즉각 중단해야""",https://zdnet.co.kr//view/?no=20250711163237
167,"크래프톤 ""서브노티카2 개발 지연, 前 경영진의 책임 방기 원인""",https://zdnet.co.kr//view/?no=20250711163540
168,"설정 파일 하나면 끝…도커, AI 에이전트 배포 진입장벽 낮췄다",https://zdnet.co.kr//view/?no=20250711163740
169,"""검색 넘어 행동까지""…퍼플렉시티, AI 웹브라우저 '코멧' 출시",https://zdnet.co.kr//view/?no=20250711163046
170,"화학경제연구원, '미래형 배터리 소재' 세미나 8월 7일 개최",https://zdnet.co.kr//view/?no=20250711161926
171,"""소듐 배터리, 5년 뒤 전기차·ESS 대세 될 것""",https://zdnet.co.kr//view/?no=20250711135136
172,"퀄컴 스냅드래곤 PC, 국내 AI PC 시장 점유율 10% 달성",https://zdnet.co.kr//view/?no=20250711122943
173,"포티투마루-한패스, 생성형 생활포털 개발…""AI, 재한 외국인 지원한다""",https://zdnet.co.kr//view/?no=20250711145534
174,400km 우주 상공에서 종이비행기 날렸더니…,https://zdnet.co.kr//view/?no=20250711151522
175,"바디프랜드, '모바일 라이브' 3년 연속 성장세",https://zdnet.co.kr//view/?no=20250711145517
176,AI시대 개인정보 보호 입법방향 토론회 열린다,https://zdnet.co.kr//view/?no=20250711154702
177,최휘영 문체장관 후보는…언론·포털 거친 플랫폼 전문가,https://zdnet.co.kr//view/?no=20250711142503
178,"11번가, '2025 유통상생대회' 공정거래위원장 표창 수상",https://zdnet.co.kr//view/?no=20250711152938
179,갤럭시Z 지원금 소비자 혼란 우려...방통위 사전 경고,https://zdnet.co.kr//view/?no=20250711152913
180,"인디제이, '눈치 RAG 2.0' 출시…한국어 미묘한 맥락·문화적 깊이까지 이해",https://zdnet.co.kr//view/?no=20250711152506
181,[프로필] 김윤덕 국토교통부 장관 후보자…국토위 활동 3선 국회의원,https://zdnet.co.kr//view/?no=20250711151336
182,15일부터 입국자 검역 서비스 확대된다,https://zdnet.co.kr//view/?no=20250711151135
183,"""배민 '가게 운영 노하우 교육' 덕에 배달 주문 수 늘었어요""",https://zdnet.co.kr//view/?no=20250711141936
184,"내란특검 ""윤석열 조사 불출석 합당하지 않으면 강제구인""",https://zdnet.co.kr//view/?no=20250711145538
185,"벤츠 사회공헌위원회, 미래차 인재와 독일 본사 탐방 성료",https://zdnet.co.kr//view/?no=20250711145450
186,갤럭시S26서 플러스 모델 사라지나,https://zdnet.co.kr//view/?no=20250711134046
187,"고려아연 임직원, 혹서기 취약계층에 삼계탕 나눔",https://zdnet.co.kr//view/?no=20250711143453
188,"효성벤처스, 1천억 펀드 가동…딥테크 스타트업 4곳 투자",https://zdnet.co.kr//view/?no=20250711141814
189,문체 최휘영·국토 김윤덕...이재명 정부 초대내각 인선 완료,https://zdnet.co.kr//view/?no=20250711142256
190,토성의 달 '엔셀라두스' 바닷물은 '강한 염기성' [우주로 간다],https://zdnet.co.kr//view/?no=20250711131825
191,"영풍, 환경단체 낙동강 카드뮴 오염 주장에 ""근거 없는 비방"" 일축",https://zdnet.co.kr//view/?no=20250711135729
192,"[포토] ""여기 왜 있어?""…미군 비행장에 등장한 코요테 로봇",https://zdnet.co.kr//view/?no=20250711100124
193,"클로봇, 피지컬 AI 기술 고도화 추진",https://zdnet.co.kr//view/?no=20250711115246
194,눈에 확 띄는 컬러로 재무장…쉐보레 트랙스 연식변경 출시,https://zdnet.co.kr//view/?no=20250711132402
195,"아이나비시스템즈, 오믈렛과 AI 기반 물류 플랫폼 사업 협력 MOU",https://zdnet.co.kr//view/?no=20250711120910
196,"국가유산청, 광복 80주년 기념 '빛을 담은 항일유산' 특별전 연다",https://zdnet.co.kr//view/?no=20250711115035
197,"중부발전, 美 텍사스 350MW 루시 태양광 발전사업 착공",https://zdnet.co.kr//view/?no=20250711125555
198,"구속된 윤석열, 내란특검 조사 불출석 사유서 제출",https://zdnet.co.kr//view/?no=20250711122525
199,"코웨이라이프솔루션, 여기어때투어와 협력",https://zdnet.co.kr//view/?no=20250711120356
